iteration,observerX1AngularPosition,observerX2AngularVelocity,realAngularPosition,motorAngularSpeed
329,-11.464834375211087,2.198901490353399,-11.6,0.0
330,-11.465723445105718,2.2040981204058916,-11.6,0.0
331,-11.466382337377823,2.2105933178688497,-11.42,0.0
332,-11.452332785917113,2.2147486491258803,-11.42,0.0
333,-11.441363346254407,2.2185397644715987,-11.42,0.0
334,-11.430655934534801,2.222735311122346,-11.42,0.0
335,-11.421518763202906,2.2267979739471118,-11.42,0.0
336,-11.412237530984806,2.23141193034089,-11.25,0.0
337,-11.391155608447995,2.2361555840908136,-11.25,0.0
338,-11.35310495450415,2.2456965078936917,-11.25,0.0
339,-11.31748328947344,2.256739813812973,-11.25,0.0
340,-11.299040657547435,2.2639076801777707,-11.07,0.0
341,-11.274545729150018,2.2691538931134616,-11.07,0.0
342,-11.25243690964366,2.2743129407267344,-11.07,0.0
343,-11.231106508958785,2.2797223418190926,-11.07,0.0
344,-11.211463970815768,2.2851517721009214,-11.07,0.0
345,-11.192714600539297,2.290794252603549,-11.07,0.0
346,-11.163612310163057,2.3003471838750897,-10.89,0.0
347,-11.119936509922375,2.309303596859064,-10.89,0.0
348,-11.081779620098892,2.318170221632861,-10.72,0.10471975511965977
349,-11.038368785913068,2.3254338329545896,-10.54,0.10471975511965977
350,-10.998398927849935,2.330497611552644,-10.54,0.10471975511965977
351,-10.957948328840788,2.3359385867094864,-10.37,0.10471975511965977
352,-10.910816550628718,2.340935463411209,-10.37,0.10471975511965977
353,-10.863137384797556,2.3462873626446084,-10.19,0.10471975511965977
354,-10.811406992838236,2.3509075695251873,-10.01,0.41887902047863906
355,-10.748502919558534,2.3554757920446474,-9.84,0.41887902047863906
356,-10.664586478952181,2.3605760306054706,-9.66,0.41887902047863906
357,-10.512139680677505,2.368315958983009,-9.49,0.41887902047863906
358,-10.33511668458591,2.3759994974815593,-8.96,0.6283185307179586
359,-10.17760113835194,2.3797485675923733,-8.43,0.9424777960769379
360,-10.059475230468506,2.381074658382962,-8.08,0.9424777960769379
361,-9.92147929080101,2.3817496482477627,-7.73,1.1519173063162573
362,-9.757806653777413,2.3816477622380083,-7.38,1.1519173063162573
363,-9.581217263775388,2.3806347784772073,-7.03,1.3613568165555772
364,-9.323994147418604,2.37795998403542,-6.67,1.3613568165555772
365,-8.979112455933905,2.3724031314402003,-6.15,1.5707963267948963
366,-8.56003691905135,2.3628108827104755,-5.27,1.6755160819145563
367,-8.184673808630851,2.3519121438495803,-4.57,1.6755160819145563
368,-7.9432685731302435,2.343770315586704,-3.86,1.6755160819145563
369,-7.667648137377466,2.334074974961243,-3.51,1.6755160819145563
370,-7.377146962293592,2.322859506212408,-3.16,1.6755160819145563
371,-7.0843165587294905,2.3105257768620127,-2.63,1.5707963267948963
372,-6.761802426035854,2.2962065056154044,-2.46,1.5707963267948963
373,-6.2746053268162685,2.2721638822424817,-1.9300000000000002,1.5707963267948963
374,-5.75771760563214,2.2438541201359783,-1.4,1.4660765716752369
375,-5.023669036422431,2.199473709329467,-0.87,1.3613568165555772
376,-4.667116707203154,2.174260775417098,-0.17,1.2566370614359172
377,-4.348731642171222,2.151954316760025,0.0,1.2566370614359172
378,-4.049971542374455,2.129559290925685,0.17,1.1519173063162573
379,-3.7506688220446587,2.105755263544486,0.52,1.0471975511965976
380,-3.4660421438777576,2.082558401380501,0.7000000000000001,1.0471975511965976
381,-3.1760176768012305,2.0577220489069137,0.87,1.0471975511965976
382,-2.7582811502369182,2.0200627518159657,1.05,0.8377580409572781
383,-2.3151093253548214,1.9765428985431175,1.23,0.8377580409572781
384,-1.9575272102035863,1.9380554172931406,1.58,0.7330382858376184
385,-1.7478344218049833,1.9149326058888965,1.75,0.5235987755982988
386,-1.498473544621324,1.8868304373219646,1.9300000000000002,0.5235987755982988
387,-1.2606541591311726,1.8591966582639141,2.1,0.5235987755982988
388,-1.0316832431009453,1.8318102134320187,2.1,0.5235987755982988
389,-0.8078715285758229,1.803109596781423,2.2800000000000002,0.5235987755982988
390,-0.5946637855963195,1.7752160657111162,2.2800000000000002,0.5235987755982988
391,-0.3022120493093345,1.7342859375683097,2.46,0.41887902047863906
392,0.15974739269696842,1.6669723838200479,2.63,0.41887902047863906
393,0.4370488319438196,1.622193334801488,2.81,0.41887902047863906
394,0.6981848145204059,1.5785800105413474,2.98,0.41887902047863906
395,0.863800436167539,1.5500349883784392,3.33,0.41887902047863906
396,1.0434582894891589,1.5211402506039453,3.51,0.41887902047863906
397,1.2072519230956957,1.4947832995950003,3.51,0.41887902047863906
398,1.366294307237022,1.4676079613998978,3.69,0.41887902047863906
399,1.6999916874465306,1.4111020349193264,4.04,0.6283185307179586
400,1.9104912995499062,1.3757203481078888,4.39,0.6283185307179586
401,2.3532081583536297,1.3049276278493578,4.74,0.8377580409572781
402,2.545485213433617,1.272964704727149,5.27,0.8377580409572781
403,2.729110129461423,1.2456884738525873,5.44,0.8377580409572781
404,2.913544120545649,1.2180093669242071,5.62,0.8377580409572781
405,3.0990642043437417,1.18996532994577,5.8,0.8377580409572781
406,3.2892447492562757,1.16099890239862,5.97,0.7330382858376184
407,3.464477950220925,1.1339777565131024,6.15,0.7330382858376184
408,3.678261005583055,1.100891566930154,6.32,0.7330382858376184
409,3.940916288060854,1.0593942459700911,6.32,0.7330382858376184
410,4.310225555660214,0.995005898372677,6.5,0.5235987755982988
411,4.493129149542648,0.9605791238877708,6.5,0.41887902047863906
412,4.625423500439767,0.9336955041655224,6.5,0.3141592653589793
413,4.752965558568276,0.9062260866787148,6.5,0.3141592653589793
414,4.873035216603375,0.8787984797943,6.67,0.20943951023931953
415,5.00381007738535,0.8498318065654493,6.67,0.20943951023931953
416,5.119142007532778,0.82262632721308,6.67,0.20943951023931953
417,5.233360922765834,0.7940595693298929,6.67,0.20943951023931953
418,5.369638221277961,0.7578199731253629,6.67,0.20943951023931953
419,5.587833662336064,0.6950469095171268,6.67,0.20943951023931953
420,5.669128774924371,0.6680598962756674,6.67,0.20943951023931953
421,5.73285253555195,0.6456364369478694,6.67,0.20943951023931953
422,5.799862322814714,0.6208856872052768,6.67,0.20943951023931953
423,5.860971141307043,0.5970565932864567,6.67,0.20943951023931953
424,5.915988268729193,0.5744409031808363,6.67,0.20943951023931953
425,5.970552564737766,0.5508471278977174,6.67,0.20943951023931953
426,6.022950991097693,0.5269412939596054,6.67,0.20943951023931953
427,6.097315976404314,0.49108540776979087,6.67,0.10471975511965977
428,6.167162386047198,0.4543596063094065,6.67,0.10471975511965977
429,6.252450309292944,0.4052052179845753,6.67,0.10471975511965977
430,6.28887554267005,0.3812658629275213,6.67,0.10471975511965977
431,6.316483090627435,0.3619332271890746,6.67,0.10471975511965977
432,6.34029739629454,0.34436418034928234,6.67,0.10471975511965977
433,6.363472332259515,0.32641960052017965,6.67,0.10471975511965977
434,6.38488984910665,0.30897449337531624,6.67,0.10471975511965977
435,6.406825400584366,0.2901834937513964,6.5,-0.10471975511965977
436,6.416506331077675,0.26815277003148036,6.5,-0.10471975511965977
437,6.428559453531248,0.238664413685322,6.5,0.0
438,6.433546241004834,0.22511392219255955,6.32,0.0
439,6.421723941383775,0.1986736073188727,6.32,0.0
440,6.414129856938219,0.18066028307898768,6.15,0.0
441,6.394608038546139,0.16499028216635356,5.97,0.0
442,6.3482767225161005,0.14340165310682207,5.8,0.0
443,6.312229195606687,0.13141695321261504,5.62,0.0
444,6.255218592959392,0.11728237728752627,5.62,0.0
445,6.150420909703353,0.09042696002644796,5.62,0.0
446,6.048353588787451,0.06221584882982739,5.44,-0.20943951023931953
